cluster,library_count,eligible_count,selected_count,mechanism_status
0,486,0,0,unknown
1,370,0,0,unknown
2,477,1,1,unknown
3,900,0,0,unknown
4,986,1,0,unknown
5,594,0,0,unknown
6,588,0,0,unknown
7,327,0,0,unknown
8,214,0,0,unknown
9,1228,1,0,unknown
10,1118,0,0,unknown
11,298,0,0,unknown
12,107,0,0,unknown
13,670,0,0,unknown
14,514,0,0,unknown
15,248,0,0,unknown
16,290,0,0,unknown
17,468,0,0,unknown
18,696,0,0,unknown
19,434,0,0,unknown
20,333,0,0,unknown
21,909,4,3,unknown
22,350,0,0,unknown
23,1106,15,7,unknown
24,124,0,0,unknown
25,368,0,0,unknown
26,473,0,0,unknown
27,369,0,0,unknown
28,210,0,0,unknown
29,651,0,0,unknown
30,275,0,0,unknown
31,1242,0,0,unknown
32,694,0,0,unknown
33,640,0,0,unknown
34,879,0,0,unknown
35,184,0,0,unknown
36,321,0,0,unknown
37,760,0,0,unknown
38,147,0,0,unknown
39,1056,0,0,unknown
40,258,0,0,unknown
41,654,6,2,unknown
42,424,5,3,unknown
43,805,0,0,unknown
44,466,0,0,unknown
45,787,0,0,unknown
46,313,0,0,unknown
47,540,0,0,unknown
48,413,0,0,unknown
49,430,0,0,unknown
50,150,0,0,unknown
51,460,0,0,unknown
52,479,0,0,unknown
53,480,0,0,unknown
54,286,0,0,unknown
55,1122,3,1,unknown
56,674,1,1,unknown
57,195,0,0,unknown
58,153,0,0,unknown
59,918,0,0,unknown
60,649,0,0,unknown
61,418,0,0,unknown
62,192,0,0,unknown
63,761,0,0,unknown
64,477,0,0,unknown
65,681,1,1,unknown
66,558,0,0,unknown
67,597,0,0,unknown
68,312,0,0,unknown
69,420,0,0,unknown
70,258,0,0,unknown
71,405,0,0,unknown
72,679,0,0,unknown
73,699,0,0,unknown
74,316,0,0,unknown
75,188,0,0,unknown
76,96,0,0,unknown
77,545,0,0,unknown
78,528,0,0,unknown
79,332,0,0,unknown
80,117,0,0,unknown
81,532,1,1,unknown
82,409,0,0,unknown
83,391,0,0,unknown
84,404,0,0,unknown
85,117,0,0,unknown
86,244,0,0,unknown
87,589,0,0,unknown
88,442,0,0,unknown
89,405,10,4,unknown
90,70,0,0,unknown
91,617,0,0,unknown
92,541,0,0,unknown
93,839,116,74,unknown
94,954,2,2,unknown
95,286,0,0,unknown
96,351,0,0,unknown
97,372,0,0,unknown
98,440,0,0,unknown
99,658,0,0,unknown
